,job_title,rating,industry,city,state,min_revenue,max_revenue,min_salary_estimate,max_salary_estimate,avg_salary_estimate,avg_revenue
397,Data Analyst - Cardiac Cath Lab,3.7,Health Care Services & Hospitals,West Orange, NJ,1000,2000,98000,114000,106000,1500.0
398,Data Quality Management Analyst,4.0,IT Services,New York, NY,50,100,98000,114000,106000,75.0
399,"Business Analyst (SQL/SQL TOAD, Excel, XML, X12, HL7 messaging, data quality analysis)",4.3,Consumer Products Manufacturing,New York, NY,5,10,48000,96000,72000,7.5
400,Senior Teradata Developer / Data Analyst,3.8,Enterprise Software & Network Solutions,Jersey City, NJ,10000,10000,48000,96000,72000,10000.0
405,Data Analyst / IT Data & Business Intelligence,4.0,Accounting,Harrison, NY,1,1,48000,96000,72000,1.0
406,Sr. Specialist Reporting Data Analyst -Technology,3.2,Investment Banking & Asset Management,Florham Park, NJ,10000,10000,48000,96000,72000,10000.0
407,Sr. Programmer Analyst - Big Data,3.3,Staffing & Outsourcing,Jersey City, NJ,10,25,48000,96000,72000,17.5
409,Data Analyst â Junior,5.0,IT Services,New York, NY,50,100,48000,96000,72000,75.0
410,Sr. Principal Metrics Analyst- Data Scientist,3.2,Investment Banking & Asset Management,New York, NY,10000,10000,48000,96000,72000,10000.0
411,Product & Pricing Data Analyst,3.1,Lending,Iselin, NJ,10000,10000,48000,96000,72000,10000.0
412,SAP Data Analyst,3.9,IT Services,Montvale, NJ,1000,2000,48000,96000,72000,1500.0
415,Senior Data Analytics Solutions Analyst with Security Clearance,3.1,Consulting,New York, NY,10,25,48000,96000,72000,17.5
416,"JPSC-7176 - Position 35, 59, 62, 100,101,102, 141,142,166 : Senior Data Analyst",4.5,IT Services,Brooklyn, NY,50,100,48000,96000,72000,75.0
422,Data Analyst,2.0,Electrical & Electronic Manufacturing,West Jordan, UT,5,10,26000,47000,36500,7.5
423,Data Analyst,4.2,Colleges & Universities,Salt Lake City, UT,2000,5000,26000,47000,36500,3500.0
424,Data Analyst,3.6,Computer Hardware & Software,Salt Lake City, UT,100,500,26000,47000,36500,300.0
425,Data Analyst,4.3,Consulting,Salt Lake City, UT,1,5,26000,47000,36500,3.0
427,Data Engineer / Data Analyst,4.3,Consulting,Salt Lake City, UT,50,100,26000,47000,36500,75.0
430,Data Analyst : 20,4.6,Staffing & Outsourcing,Salt Lake City, UT,25,50,26000,47000,36500,37.5
431,Data Intelligence - Product Data Quality Analyst (DE - RefData) - Data as a Service,4.0,Investment Banking & Asset Management,Salt Lake City, UT,10000,10000,26000,47000,36500,10000.0
433,Data Engineer/Analyst,3.6,Staffing & Outsourcing,Salt Lake City, UT,25,50,26000,47000,36500,37.5
434,Quality Data Analyst,2.6,Consumer Products Manufacturing,Salt Lake City, UT,50,100,26000,47000,36500,75.0
437,Big Data Analyst,2.9,IT Services,Salt Lake City, UT,5,10,26000,47000,36500,7.5
438,Senior Data Analyst,3.4,Internet,Salt Lake City, UT,100,500,26000,47000,36500,300.0
441,Senior Data Analyst,3.8,Computer Hardware & Software,Draper, UT,1000,2000,26000,47000,36500,1500.0
442,Data Scientist/Analyst - Noke,2.7,Industrial Manufacturing,Lehi, UT,100,500,26000,47000,36500,300.0
443,Data Analyst - W2 candidate,3.3,IT Services,American Fork, UT,10,25,26000,47000,36500,17.5
447,Financial Data Analyst,3.5,Energy,Lehi, UT,50,100,26000,47000,36500,75.0
448,Special Operations (LREC) Incentives and Proficiency Data Analyst,3.5,Consulting,Riverton, UT,5,10,26000,47000,36500,7.5
450,a. Senior Data and Business Analyst,4.0,Accounting,Salt Lake City, UT,25,50,31000,59000,45000,37.5
451,Fund Data Analyst,3.5,Energy,Lehi, UT,50,100,31000,59000,45000,75.0
452,Sr Python Data Analyst(no c2c) contract w2 only,2.9,IT Services,Salt Lake City, UT,5,10,31000,59000,45000,7.5
454,Data Analyst,3.5,Staffing & Outsourcing,Reedley, CA,2000,5000,47000,81000,64000,3500.0
455,"Data Analyst, District Office - Accountability Office",3.7,Preschool & Child Care,Visalia, CA,1,5,47000,81000,64000,3.0
456,Data Analyst (Kings County),3.3,Social Assistance,Hanford, CA,50,100,47000,81000,64000,75.0
457,Tactical Data Link (TDL) Analyst,4.3,Aerospace & Defense,Hampton, VA,50,100,43000,69000,56000,75.0
458,Data Analyst,2.5,Colleges & Universities,Hampton, VA,100,500,43000,69000,56000,300.0
459,Data Science Analyst,2.7,Consulting,Norfolk, VA,25,50,43000,69000,56000,37.5
460,Junior Data Analyst,2.7,Social Assistance,Hampton, VA,50,100,43000,69000,56000,75.0
461,Junior Data Analyst,5.0,IT Services,Hampton, VA,50,100,43000,69000,56000,75.0
462,Jr Data Analyst,4.9,Architectural & Engineering Services,Portsmouth, VA,10,25,43000,69000,56000,17.5
465,Data Analyst,3.5,Social Assistance,Norfolk, VA,5,10,43000,69000,56000,7.5
466,Data Analyst,5.0,IT Services,Hampton, VA,50,100,43000,69000,56000,75.0
467,Data Analyst,4.9,Architectural & Engineering Services,Portsmouth, VA,10,25,43000,69000,56000,17.5
469,Finance Data Analytics Analyst,3.1,Food & Beverage Manufacturing,Smithfield, VA,10000,10000,43000,69000,56000,10000.0
470,Business Intelligence/Data Analyst with Security Clearance,3.8,Consulting,Suffolk, VA,5000,10000,43000,69000,56000,7500.0
472,Metrics & Data Analyst,3.5,Commercial Equipment Repair & Maintenance,Norfolk, VA,100,500,43000,69000,56000,300.0
473,Tactical Data Link (TDL) Analyst-,3.8,IT Services,Hampton, VA,100,500,43000,69000,56000,300.0
475,Data Analyst Junior,5.0,IT Services,Hampton, VA,50,100,43000,69000,56000,75.0
476,HQ Data Analyst,3.0,Accounting,Newport News, VA,10,25,43000,69000,56000,17.5
477,USMTF Data Analyst,3.8,IT Services,Hampton, VA,100,500,43000,69000,56000,300.0
478,Mid Data Analyst,4.9,Architectural & Engineering Services,Portsmouth, VA,10,25,43000,69000,56000,17.5
480,Retail Data Quality Analyst,3.5,Staffing & Outsourcing,Hampton, VA,5,10,43000,69000,56000,7.5
481,USMTF Data Analyst with Security Clearance,3.8,IT Services,Hampton, VA,100,500,43000,69000,56000,300.0
482,Senior Data Strategy Analyst (SDSA),3.2,Telecommunications Services,Norfolk, VA,10,25,43000,69000,56000,17.5
483,Data Analyst - Va Beach - VA with Security Clearance,3.1,Consulting,Virginia Beach, VA,5,10,43000,69000,56000,7.5
484,Configuration and Data Management (C&DM) Analyst,3.5,Consulting,Hampton, VA,10,25,43000,69000,56000,17.5
485,Jr Management Analyst (Data Management),3.2,Aerospace & Defense,Yorktown, VA,10,25,43000,69000,56000,17.5
486,Senior Data Analyst,4.9,Architectural & Engineering Services,Portsmouth, VA,10,25,43000,69000,56000,17.5
487,Tactical Data Link (TDL) Analyst,3.8,IT Services,Hampton, VA,100,500,49000,112000,80500,300.0
489,Acoustics Data Analyst/Flight Test Engineer,3.5,Consulting,Hampton, VA,10,25,49000,112000,80500,17.5
492,Senior Data Management Analyst (SDMA),3.2,Telecommunications Services,Norfolk, VA,10,25,49000,112000,80500,17.5
494,Data Warehouse Programmer/Analyst,3.1,Consulting,Fort Eustis, VA,10,25,49000,112000,80500,17.5
497,Program Analyst - AIS/Maintenance Data System Coordinator,3.5,Commercial Equipment Repair & Maintenance,Norfolk, VA,100,500,49000,112000,80500,300.0
498,MSC Logistics Data Analyst,3.6,Aerospace & Defense,Norfolk, VA,2000,5000,49000,112000,80500,3500.0
501,Sr Data Business Analyst - FacilitySource,3.6,Building & Personnel Services,Chesapeake, VA,100,500,49000,112000,80500,300.0
503,NIWC Service Desk Analyst Component Enterprise Data Center (CEDC with Security Clearance,3.3,IT Services,Norfolk, VA,25,50,49000,112000,80500,37.5
504,NIWC Service Desk Analyst Component Enterprise Data Center (CEDC).,3.3,IT Services,Norfolk, VA,25,50,49000,112000,80500,37.5
505,Junior Data Analyst,5.0,IT Services,Gainesville, FL,50,100,30000,54000,42000,75.0
506,Data Analyst,5.0,IT Services,Gainesville, FL,50,100,30000,54000,42000,75.0
507,Data Analyst,4.3,Colleges & Universities,Gainesville, FL,1000,2000,30000,54000,42000,1500.0
508,AvMed Data Governance Analyst,3.1,Insurance Carriers,Gainesville, FL,500,1000,30000,54000,42000,750.0
509,Data Management Analyst II,3.3,Health Care Services & Hospitals,Alachua, FL,500,1000,30000,54000,42000,750.0
510,Data Analyst Junior,5.0,IT Services,Gainesville, FL,50,100,30000,54000,42000,75.0
511,Data Analyst â Junior,5.0,IT Services,Gainesville, FL,50,100,30000,54000,42000,75.0
512,IT Analyst III Data Systems,3.3,Health Care Services & Hospitals,Gainesville, FL,500,1000,30000,54000,42000,750.0
513,Product Data Analyst,3.1,Computer Hardware & Software,El Segundo, CA,100,500,55000,103000,79000,300.0
515,Data Analytics Insights Analyst,3.7,Internet,Los Angeles, CA,500,1000,55000,103000,79000,750.0
516,Data Analyst,5.0,Enterprise Software & Network Solutions,Los Angeles, CA,1,5,55000,103000,79000,3.0
518,Data Analyst,5.0,IT Services,Los Angeles, CA,50,100,55000,103000,79000,75.0
520,Survey Data Analyst,5.0,Internet,Los Angeles, CA,1,5,55000,103000,79000,3.0
522,Data Analyst,4.3,Staffing & Outsourcing,Burbank, CA,50,100,55000,103000,79000,75.0
524,Data and Policy Analyst - Statistical Programmer,3.2,Federal Agencies,Los Angeles, CA,10,25,55000,103000,79000,17.5
525,Data Analyst,4.5,Staffing & Outsourcing,Los Angeles, CA,25,50,55000,103000,79000,37.5
528,Data Analyst,4.0,Accounting,Los Angeles, CA,1,1,55000,103000,79000,1.0
530,Data Analyst,3.6,Staffing & Outsourcing,Culver City, CA,100,500,55000,103000,79000,300.0
533,Data Analyst,3.4,IT Services,Los Angeles, CA,5,10,55000,103000,79000,7.5
534,Senior Database Analyst - Data Warehouse,3.9,Health Care Services & Hospitals,Los Angeles, CA,2000,5000,55000,103000,79000,3500.0
536,Data Analyst,3.5,Staffing & Outsourcing,El Segundo, CA,2000,5000,55000,103000,79000,3500.0
544,Data Analyst,4.1,Construction,Los Angeles, CA,2000,5000,37000,70000,53500,3500.0
545,Data Analyst,3.1,Consulting,Los Angeles, CA,10,25,37000,70000,53500,17.5
546,Data Analyst,3.7,IT Services,Glendale, CA,5,10,37000,70000,53500,7.5
548,Senior Data Intelligence Analyst,3.9,Health Care Services & Hospitals,Los Angeles, CA,2000,5000,37000,70000,53500,3500.0
552,"Senior Data Analyst, Data Insights",3.8,TV Broadcast & Cable Networks,Santa Monica, CA,1000,2000,37000,70000,53500,1500.0
553,Data Analyst,3.8,Consulting,El Segundo, CA,5,10,37000,70000,53500,7.5
554,Workday Technical Analyst- Data Conversions,4.2,Colleges & Universities,Los Angeles, CA,2000,5000,37000,70000,53500,3500.0
555,Data Analyst Healthcare - Experienced or Entry Level,3.1,Consulting,Cerritos, CA,50,100,37000,70000,53500,75.0
557,"Analyst, Data Operations",3.9,Motion Picture Production & Distribution,Burbank, CA,10000,10000,37000,70000,53500,10000.0
559,Data Analyst,3.5,Construction,Irwindale, CA,10,25,37000,70000,53500,17.5
560,Data Analyst (Apex Legends),3.9,Video Games,Los Angeles, CA,2000,5000,37000,70000,53500,3500.0
561,Data Intelligence Analyst II ( Epic Certification Required ),3.9,Health Care Services & Hospitals,Los Angeles, CA,2000,5000,37000,70000,53500,3500.0
562,Market Data Analyst,3.9,Investment Banking & Asset Management,Los Angeles, CA,1000,2000,37000,70000,53500,1500.0
563,"Sr Analyst, Data Operations",3.7,TV Broadcast & Cable Networks,Burbank, CA,10000,10000,37000,70000,53500,10000.0
564,Data Analyst (Ryan White),4.7,Health Care Services & Hospitals,Los Angeles, CA,1000,2000,37000,70000,53500,1500.0
566,"Data System Analyst I, LACERA (Senior Java Developer)",3.5,Investment Banking & Asset Management,Pasadena, CA,2000,5000,37000,70000,53500,3500.0
567,Data Analyst,2.9,Publishing,Anaheim, CA,50,100,37000,70000,53500,75.0
569,Data Analyst,3.1,Financial Transaction Processing,El Segundo, CA,2000,5000,37000,70000,53500,3500.0
570,Junior Data Analyst,5.0,IT Services,Los Angeles, CA,50,100,37000,70000,53500,75.0
571,Data Analyst,3.2,Consulting,Irwindale, CA,10,25,57000,103000,80000,17.5
573,Data and Policy Analyst - Writer/Coordinator,3.2,Federal Agencies,Los Angeles, CA,10,25,57000,103000,80000,17.5
574,Sr. Data/Report System Analyst,3.9,Health Care Services & Hospitals,Beverly Hills, CA,2000,5000,57000,103000,80000,3500.0
582,Senior Data Analyst,3.3,Enterprise Software & Network Solutions,Los Angeles, CA,25,50,57000,103000,80000,37.5
586,Public Policy Data Analyst,3.9,Internet,Los Angeles, CA,5000,10000,57000,103000,80000,7500.0
587,Epidemiologist Data Analyst-Urology,3.8,Health Care Services & Hospitals,Los Angeles, CA,2000,5000,57000,103000,80000,3500.0
588,Data Analyst I,3.0,Biotech & Pharmaceuticals,Northridge, CA,25,50,57000,103000,80000,37.5
589,Data Systems Analyst,3.9,Consulting,Los Angeles, CA,10,25,57000,103000,80000,17.5
590,"Data Analyst, Predictive Analytics",3.4,Internet,Los Angeles, CA,1000,2000,57000,103000,80000,1500.0
591,Data Reporting Analyst,3.5,Staffing & Outsourcing,Los Angeles, CA,2000,5000,57000,103000,80000,3500.0
596,Mid-Senior Data Analyst,3.5,Staffing & Outsourcing,Los Angeles, CA,2000,5000,57000,103000,80000,3500.0
597,Associate Player Support Data Analyst,3.4,Video Games,El Segundo, CA,5000,10000,57000,103000,80000,7500.0
600,Data Analyst Junior,5.0,IT Services,Los Angeles, CA,50,100,35000,45000,40000,75.0
602,Research Sr. Data Analyst - Kaiser Permanente Bernard J. Tyson School of Medicine,4.0,Health Care Services & Hospitals,Pasadena, CA,10000,10000,35000,45000,40000,10000.0
604,Financial Data Analyst,3.8,Aerospace & Defense,El Segundo, CA,50,100,35000,45000,40000,75.0
611,Data Analyst - Personalization,3.4,Internet,Los Angeles, CA,1000,2000,35000,45000,40000,1500.0
613,Data Analyst / Developer,4.1,Staffing & Outsourcing,Los Angeles, CA,1000,2000,35000,45000,40000,1500.0
615,"Operations Analyst, Data Governance",3.7,TV Broadcast & Cable Networks,Burbank, CA,10000,10000,35000,45000,40000,10000.0
616,"Analyst, Data (Pharmacy & SQL)",3.1,Insurance Carriers,Long Beach, CA,10000,10000,35000,45000,40000,10000.0
618,Enterprise Data Quality Analyst - EDM,3.5,Staffing & Outsourcing,Los Angeles, CA,100,500,35000,45000,40000,300.0
619,Microsoft Dynamics CRM Data Analyst,3.7,IT Services,Los Angeles, CA,10000,10000,35000,45000,40000,10000.0
620,"Marketing Data Analyst, Teleflora",3.6,Consumer Products Manufacturing,Los Angeles, CA,2000,5000,35000,45000,40000,3500.0
621,Senior Customer Data Analyst : 20,4.6,Staffing & Outsourcing,Los Angeles, CA,25,50,35000,45000,40000,37.5
625,Data Analyst - Product,3.4,Insurance Carriers,Brea, CA,2000,5000,35000,45000,40000,3500.0
626,"Sr. Analyst, Data",3.1,Insurance Carriers,Long Beach, CA,10000,10000,35000,45000,40000,10000.0
630,Data Entry Analyst,3.6,Staffing & Outsourcing,Woodland Hills, CA,100,500,42000,66000,54000,300.0
632,Data Intelligence Analyst II,4.0,IT Services,Los Angeles, CA,25,50,42000,66000,54000,37.5
634,Sr. Data Analyst,3.3,Computer Hardware & Software,Burbank, CA,25,50,42000,66000,54000,37.5
636,Jr. Data Analyst (Jr. DA),4.0,Health Care Services & Hospitals,Glendale, CA,1,5,42000,66000,54000,3.0
637,Sr. Business Data Analyst,4.9,Staffing & Outsourcing,Santa Monica, CA,10,25,42000,66000,54000,17.5
638,Data Reporting Analyst,3.6,Staffing & Outsourcing,Pasadena, CA,100,500,42000,66000,54000,300.0
640,Senior Data Engineer & Analyst,5.0,"Health, Beauty, & Fitness",Pasadena, CA,1,1,42000,66000,54000,1.0
641,Principal Data Management Analyst,3.8,Aerospace & Defense,Woodland Hills, CA,10000,10000,42000,66000,54000,10000.0
642,Sr. Data Analyst,4.3,Staffing & Outsourcing,Burbank, CA,50,100,42000,66000,54000,75.0
643,Sr Data Analyst (DW),4.2,IT Services,Los Angeles, CA,10,25,42000,66000,54000,17.5
645,"Digital Media Data Analyst, Apple TV+",4.1,Computer Hardware & Software,Culver City, CA,10000,10000,42000,66000,54000,10000.0
646,Data Intelligence Analyst,3.4,IT Services,Cerritos, CA,1,5,42000,66000,54000,3.0
654,Corporate: Data Analyst,3.4,Automotive Parts & Accessories Stores,Torrance, CA,100,500,42000,66000,54000,300.0
655,Sr Data Analyst,3.1,Internet,Los Angeles, CA,10,25,42000,66000,54000,17.5
657,"Analyst, Data",3.1,Insurance Carriers,Long Beach, CA,10000,10000,42000,66000,54000,10000.0
662,Junior Data Analyst,3.9,Industrial Manufacturing,Long Beach, CA,100,500,65000,81000,73000,300.0
664,Data Analyst - MS Access & Excel,3.5,Consulting,Azusa, CA,10,25,65000,81000,73000,17.5
665,Data Analyst (Asset Management / eDiscovery),3.8,Consulting,Burbank, CA,5,10,65000,81000,73000,7.5
666,Jr. Data Analyst,3.8,Consulting,El Segundo, CA,5,10,65000,81000,73000,7.5
667,Sr. Data Analyst,4.0,Consumer Products Manufacturing,Marina del Rey, CA,10000,10000,65000,81000,73000,10000.0
668,"Data Analyst - Health, Experienced",4.1,Insurance Carriers,Woodland Hills, CA,10000,10000,65000,81000,73000,10000.0
670,Junior Data Analyst,3.8,Chemical Manufacturing,Long Beach, CA,5000,10000,65000,81000,73000,7500.0
671,Reporting Data Analyst,3.0,Venture Capital & Private Equity,El Segundo, CA,1000,2000,65000,81000,73000,1500.0
676,Student Data Compliance Analyst,3.3,K-12 Education,Los Angeles, CA,50,100,65000,81000,73000,75.0
677,Data Quality Control Analyst,3.5,Staffing & Outsourcing,Glendale, CA,100,500,65000,81000,73000,300.0
678,Senior Data Management Analyst,3.0,Venture Capital & Private Equity,El Segundo, CA,1000,2000,65000,81000,73000,1500.0
680,Data Analyst HEDIS Star,3.2,Insurance Carriers,Long Beach, CA,2000,5000,65000,81000,73000,3500.0
682,Sr. Data Analyst,3.1,Insurance Carriers,Long Beach, CA,10000,10000,65000,81000,73000,10000.0
683,SAP Master Data Analyst,2.5,Consumer Products Manufacturing,Los Angeles, CA,10,25,65000,81000,73000,17.5
687,System and Data Analyst,2.9,Health Care Services & Hospitals,Arcadia, CA,50,100,113000,132000,122500,75.0
695,Data Analyst-HEDIS & Star,3.2,Insurance Carriers,Long Beach, CA,2000,5000,113000,132000,122500,3500.0
696,Music Copyright Data Analyst,3.3,Staffing & Outsourcing,Woodland Hills, CA,1000,2000,113000,132000,122500,1500.0
697,Sr. Data Analyst,3.8,Consulting,El Segundo, CA,5,10,113000,132000,122500,7.5
699,Sr. Data Governance Analyst,4.0,Accounting,Arcadia, CA,1,1,113000,132000,122500,1.0
700,"Data Analyst - Health, Senior",4.1,Insurance Carriers,Woodland Hills, CA,10000,10000,113000,132000,122500,10000.0
702,Data Entry Clerk and Analyst - Financial,2.8,IT Services,Burbank, CA,10,25,113000,132000,122500,17.5
703,"Analyst, Financial Master Data",3.9,Motion Picture Production & Distribution,Burbank, CA,10000,10000,113000,132000,122500,10000.0
704,Senior Clinical Data Analyst,3.4,Health Care Services & Hospitals,Gardena, CA,100,500,113000,132000,122500,300.0
705,Sr. Data Analyst (Pharmacy),3.1,Insurance Carriers,Long Beach, CA,10000,10000,113000,132000,122500,10000.0
706,"Sr Analyst, Data",3.1,Insurance Carriers,Long Beach, CA,10000,10000,113000,132000,122500,10000.0
708,"Analyst, Financial Master Data",3.7,TV Broadcast & Cable Networks,Burbank, CA,10000,10000,113000,132000,122500,10000.0
709,Copyright Data Analyst,3.3,Staffing & Outsourcing,Woodland Hills, CA,1000,2000,113000,132000,122500,1500.0
712,"QM DATA ANALYST II, WHITTIER, FULL TIME DAYS",3.6,Health Care Services & Hospitals,Whittier, CA,1000,2000,113000,132000,122500,1500.0
715,Data Analyst - Marketing Analytics,3.4,Insurance Carriers,Brea, CA,2000,5000,113000,132000,122500,3500.0
720,Data Analyst,3.9,Banks & Credit Unions,Chicago, IL,500,1000,60000,66000,63000,750.0
722,Data Analyst,3.7,Enterprise Software & Network Solutions,Chicago, IL,100,500,60000,66000,63000,300.0
723,Data Transformation Analyst,5.0,Consulting,Chicago, IL,100,500,60000,66000,63000,300.0
725,Jr. Data Analyst,3.4,Staffing & Outsourcing,Downers Grove, IL,5000,10000,60000,66000,63000,7500.0
726,Urgent Need - Data Analyst,3.4,Staffing & Outsourcing,Chicago, IL,5000,10000,60000,66000,63000,7500.0
729,Healthcare Data Analyst - Remote,3.3,Computer Hardware & Software,Chicago, IL,1000,2000,60000,66000,63000,1500.0
730,Junior Data Analyst,3.7,Transportation Management,Chicago, IL,100,500,60000,66000,63000,300.0
731,Data Analyst,4.0,Colleges & Universities,Chicago, IL,2000,5000,60000,66000,63000,3500.0
732,Product Data Analyst,3.9,Staffing & Outsourcing,Chicago, IL,100,500,60000,66000,63000,300.0
734,Data Analyst (Junior),4.6,Staffing & Outsourcing,Downers Grove, IL,50,100,60000,66000,63000,75.0
735,Data Analyst,4.6,Staffing & Outsourcing,Downers Grove, IL,50,100,60000,66000,63000,75.0
736,Associate Marketing Data Analyst,4.1,Miscellaneous Manufacturing,Broadview, IL,10000,10000,60000,66000,63000,10000.0
737,Outsights Data Analyst,3.3,Financial Transaction Processing,Chicago, IL,1000,2000,60000,66000,63000,1500.0
738,Business Data Analyst,3.3,Social Assistance,Chicago, IL,2000,5000,60000,66000,63000,3500.0
739,Data Analyst,4.7,Staffing & Outsourcing,Chicago, IL,10,25,60000,66000,63000,17.5
740,Data Analyst,4.3,Computer Hardware & Software,Chicago, IL,25,50,60000,66000,63000,37.5
741,Data Analyst,3.2,Banks & Credit Unions,Chicago, IL,2000,5000,60000,66000,63000,3500.0
742,Data Analyst - Excel,3.3,Staffing & Outsourcing,Downers Grove, IL,1000,2000,60000,66000,63000,1500.0
743,Associate Marketing Data Analyst,3.1,Consumer Products Manufacturing,Broadview, IL,500,1000,60000,66000,63000,750.0
747,Data Analyst - IntelliScript,3.8,Consulting,Chicago, IL,1000,2000,60000,66000,63000,1500.0
748,Data Analyst,3.7,Banks & Credit Unions,Chicago, IL,10000,10000,60000,66000,63000,10000.0
749,Reporting and Data Analyst - (North American Collections Analytics for Data and Analytics),3.2,Banks & Credit Unions,Chicago, IL,2000,5000,60000,66000,63000,3500.0
750,Data Analyst,4.2,IT Services,Chicago, IL,1000,2000,73000,82000,77500,1500.0
752,Manufacturing Data Analyst,3.2,Miscellaneous Manufacturing,Woodridge, IL,10000,10000,73000,82000,77500,10000.0
754,Data Analyst,3.7,Health Care Services & Hospitals,Chicago, IL,500,1000,73000,82000,77500,750.0
755,Data Analyst,3.9,Staffing & Outsourcing,Chicago, IL,2000,5000,73000,82000,77500,3500.0
757,Senior Data Analyst,3.4,Consumer Products Manufacturing,Chicago, IL,2000,5000,73000,82000,77500,3500.0
758,Data Analyst,4.1,Staffing & Outsourcing,Downers Grove, IL,5,10,73000,82000,77500,7.5
759,Junior Data Analyst,5.0,IT Services,Chicago, IL,50,100,73000,82000,77500,75.0
760,Senior Data Analyst,3.5,Logistics & Supply Chain,Chicago, IL,500,1000,73000,82000,77500,750.0
768,Data Analyst,3.9,IT Services,Chicago, IL,100,500,73000,82000,77500,300.0
769,Data Analyst,5.0,IT Services,Chicago, IL,50,100,73000,82000,77500,75.0
770,Provider Analytics Data Analyst,4.7,Staffing & Outsourcing,Chicago, IL,10,25,73000,82000,77500,17.5
774,Provider Analytics Data Analyst,4.6,IT Services,Chicago, IL,25,50,73000,82000,77500,37.5
775,Senior Data Analyst,4.2,Enterprise Software & Network Solutions,Chicago, IL,1,5,73000,82000,77500,3.0
776,Data Governance Analyst,3.9,Staffing & Outsourcing,Chicago, IL,2000,5000,73000,82000,77500,3500.0
778,"Senior Data Analyst, Business Intelligence",4.8,Lending,Chicago, IL,50,100,73000,82000,77500,75.0
780,Data Analyst,4.0,Accounting,Chicago, IL,1,1,67000,92000,79500,1.0
781,Data Analyst - Rush Infectious Diseases,3.9,Health Care Services & Hospitals,Chicago, IL,1000,2000,67000,92000,79500,1500.0
782,Data Analyst,2.7,Staffing & Outsourcing,Chicago, IL,100,500,67000,92000,79500,300.0
783,Fair Lending Data Analyst,3.4,Banks & Credit Unions,Rolling Meadows, IL,100,500,67000,92000,79500,300.0
785,Senior Research Data Analyst,4.0,Colleges & Universities,Chicago, IL,2000,5000,67000,92000,79500,3500.0
791,"Data Analyst, Operations Engineering",3.8,Energy,Chicago, IL,50,100,67000,92000,79500,75.0
792,"Data Analyst, Tax (Affordable Care Act) (ACA) (Manager) (Multiple Positions)",3.8,Accounting,Chicago, IL,10000,10000,67000,92000,79500,10000.0
793,Business Analyst / Data Analyst,3.9,Construction,Chicago, IL,1,1,67000,92000,79500,1.0
796,Data Quality Analyst,3.0,Logistics & Supply Chain,Chicago, IL,1000,2000,67000,92000,79500,1500.0
797,Senior Data Analyst,3.9,IT Services,Chicago, IL,100,500,67000,92000,79500,300.0
798,Sr. Data Analyst,3.9,Staffing & Outsourcing,Chicago, IL,100,500,67000,92000,79500,300.0
799,Tableau Developer/Data Analyst,3.7,Other Retail Stores,Northlake, IL,500,1000,67000,92000,79500,750.0
801,Data Analyst,4.3,IT Services,Northbrook, IL,100,500,67000,92000,79500,300.0
802,Data Analyst – Level II,1.0,IT Services,Chicago, IL,1,1,67000,92000,79500,1.0
803,Reporting and Data Analyst - (North American Collections Analytics for Data and Analytics),3.7,Banks & Credit Unions,Chicago, IL,10000,10000,67000,92000,79500,10000.0
804,Senior Data Analyst,3.6,Legal,Chicago, IL,1000,2000,67000,92000,79500,1500.0
806,Senior Trading Systems Data Analyst (Chicago or NY),2.9,Venture Capital & Private Equity,Chicago, IL,100,500,67000,92000,79500,300.0
807,Data Analyst/Programmer,2.5,Advertising & Marketing,Itasca, IL,25,50,67000,92000,79500,37.5
808,Data Services Business Analyst 2,3.6,Consulting,Chicago, IL,10000,10000,42000,76000,59000,10000.0
809,Data Analyst,4.1,Staffing & Outsourcing,Evanston, IL,1000,2000,42000,76000,59000,1500.0
810,Call Center Data Analyst,3.3,Social Assistance,Chicago, IL,25,50,42000,76000,59000,37.5
813,Data Analyst,3.3,Food & Beverage Manufacturing,Bridgeview, IL,100,500,42000,76000,59000,300.0
814,Senior Global Data Analyst / Power BI Dashboard Developer,2.8,Biotech & Pharmaceuticals,Chicago, IL,2000,5000,42000,76000,59000,3500.0
815,Data Analyst,3.6,Staffing & Outsourcing,Downers Grove, IL,50,100,42000,76000,59000,75.0
817,Logistics Data Analyst,2.5,Food & Beverage Manufacturing,Oak Brook, IL,5000,10000,42000,76000,59000,7500.0
818,Data Production Analyst,4.2,Staffing & Outsourcing,Chicago, IL,10,25,42000,76000,59000,17.5
820,SAS Data Analyst,1.0,IT Services,Chicago, IL,1,1,42000,76000,59000,1.0
821,Data Analyst,3.2,Staffing & Outsourcing,Northbrook, IL,100,500,42000,76000,59000,300.0
822,"Manufacturing Data Analyst - Woodridge, IL",4.8,Enterprise Software & Network Solutions,Woodridge, IL,1,1,42000,76000,59000,1.0
823,Senior Data Analyst,2.9,Health Care Services & Hospitals,Chicago, IL,50,100,42000,76000,59000,75.0
824,Logistics Data Analyst,3.4,Catering & Food Service Contractors,Oak Brook, IL,50,100,42000,76000,59000,75.0
826,Contract Analyst - Enterprise Market Data,3.7,Banks & Credit Unions,Chicago, IL,2000,5000,42000,76000,59000,3500.0
827,Marketing Data Analyst - CPG,5.0,Advertising & Marketing,Chicago, IL,1,1,42000,76000,59000,1.0
828,Senior Data Analyst,4.1,K-12 Education,Chicago, IL,25,50,42000,76000,59000,37.5
